baseline	mobile	1	46	6143	1046	0	4000	6143
baseline	mobile	2	50	5909	813	0	4014	5909
baseline	mobile	3	47	6050	911	0	4246	6050
baseline	desktop	1	96	1224	92	0	745	1224
baseline	desktop	2	96	1232	108	0	748	1232
baseline	desktop	3	94	1280	121	0	758	1280
fixed	mobile	1	46	6032	1044	0	4008	6032
fixed	mobile	2	46	6038	1068	0	4014	6038
fixed	mobile	3	42	6099	1529	0	4046	6234
fixed	desktop	1	96	1239	84	0.00006792038984393257	755	1239
fixed	desktop	2	90	1301	199	0.00006792038984393257	746	1310
fixed	desktop	3	96	1245	81	0.00006792038984393257	754	1245
